metric,value
counts_by_cpc.A01B63/102,4
counts_by_cpc.A01B63/106,1
counts_by_cpc.A01B63/108,29
counts_by_cpc.A01B63/11,1
counts_by_cpc.A01B63/111,21
counts_by_cpc.A01B63/1112,3
counts_by_cpc.A01B63/1117,3
counts_by_cpc.A01B63/112,1
counts_by_cpc.A01B63/1145,1
counts_by_cpc.A01B63/118,2
counts_by_cpc.A01B63/12,5
counts_by_cpc.A01B63/145,1
counts_by_cpc.A01B63/16,3
counts_by_cpc.A01B63/163,3
counts_by_cpc.A01B63/22,7
counts_by_cpc.A01B63/24,1
counts_by_cpc.A01B63/245,3
counts_by_cpc.A01B63/26,2
counts_by_cpc.A01B63/32,6
counts_by_cpc.A01B67/00,4
counts_by_cpc.A01B69/00,159
counts_by_cpc.A01B69/001,108
counts_by_cpc.A01B69/003,2
counts_by_cpc.A01B69/004,38
counts_by_cpc.A01B69/006,3
counts_by_cpc.A01B69/007,25
counts_by_cpc.A01B69/008,406
counts_by_cpc.A01B69/02,8
counts_by_cpc.A01B69/024,1
counts_by_cpc.A01B7/00,1
counts_by_cpc.A01B71/00,40
counts_by_cpc.A01B71/02,23
counts_by_cpc.A01B71/04,10
counts_by_cpc.A01B71/06,8
counts_by_cpc.A01B71/063,17
counts_by_cpc.A01B71/066,2
counts_by_cpc.A01B71/08,38
counts_by_cpc.A01B73/00,68
counts_by_cpc.A01B73/005,13
counts_by_cpc.A01B73/02,9
counts_by_cpc.A01B73/04,2
counts_by_cpc.A01B73/044,8
counts_by_cpc.A01B73/046,3
counts_by_cpc.A01B73/048,1
counts_by_cpc.A01B73/065,2
counts_by_cpc.A01B75/00,20
counts_by_cpc.A01B76/00,136
counts_by_cpc.A01B77/00,58
counts_by_cpc.A01B79/00,19
counts_by_cpc.A01B79/005,309
counts_by_cpc.A01B79/02,50
counts_by_cpc.A01C1/00,402
counts_by_cpc.A01C1/005,6
counts_by_cpc.A01C1/02,67
counts_by_cpc.A01C1/025,22
counts_by_cpc.A01C1/04,77
counts_by_cpc.A01C1/042,8
counts_by_cpc.A01C1/044,18
counts_by_cpc.A01C1/046,3
counts_by_cpc.A01C1/06,154
counts_by_cpc.A01C1/08,153
counts_by_cpc.A01C11/00,57
counts_by_cpc.A01C11/003,55
counts_by_cpc.A01C11/006,123
